Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ACJEUNES;02;CG5006;2023-11-12;00:00;0918042;EN SP MONTGERONNAISE;0912770;ASV - ARTS ET SPORTS A VILLEBON; 0/2;10-25,11-25;21-50;GYMNASE DU NOUZET;SAINT FELIX YVES;;;
ACJEUNES;02;CG6004;2023-11-12;11:00;0687706;VOLLEY-BALL CLUB D'ENSISHEIM;0906468;ASM BELFORT VOLLEY-BALL; 2/0;25-11,25-16;50-27;DUOPÔLE;PAGLIERI JOEL;SIFFERLEN SERGE;;
ACJEUNES;02;CG6005;2023-11-12;00:00;0906468;ASM BELFORT VOLLEY-BALL;0574053;VOLLEY-CLUB SARREBOURG; 2/1;22-25,27-25,15-9;64-59;DUOPÔLE;PAGLIERI JOEL;SIFFERLEN SERGE;;
ACJEUNES;02;CG6006;2023-11-12;00:00;0687706;VOLLEY-BALL CLUB D'ENSISHEIM;0574053;VOLLEY-CLUB SARREBOURG; 2/0;25-6,25-6;50-12;DUOPÔLE;SIFFERLEN SERGE;PAGLIERI JOEL;;
ACJEUNES;02;CG7004;2023-11-12;11:00;0695668;VOLLEY BRON @ LYON LUMIERE;0426516;ENTENTE ST-CHAMOND VOLLEY; 2/0;25-21,25-14;50-35;GYMNASE ANTOINE MUGUET;GONTHIER GUILLAUME;POCHON JADE;;
ACJEUNES;02;CG7005;2023-11-12;00:00;0426516;ENTENTE ST-CHAMOND VOLLEY;0744930;ANNEMASSE VOLLEY 74; 1/2;22-25,25-19,10-15;57-59;GYMNASE ANTOINE MUGUET;GONTHIER GUILLAUME;POCHON JADE;;
ACJEUNES;02;CG7006;2023-11-12;00:00;0695668;VOLLEY BRON @ LYON LUMIERE;0744930;ANNEMASSE VOLLEY 74; 2/0;25-18,25-19;50-37;GYMNASE ANTOINE MUGUET;POCHON JADE;GONTHIER GUILLAUME;;
ACJEUNES;02;CG8004;2023-11-12;11:00;0883902;CAM D'EPINAL;0909293;ENTENTE VOL.BEAUCOURT/SOCHAUX; 2/0;25-14,25-20;50-34;GYMNASE LAPICQUE;RANDY MATTÉO;CONRAUD IRINA;;
ACJEUNES;02;CG8005;2023-11-12;00:00;0909293;ENTENTE VOL.BEAUCOURT/SOCHAUX;0579619;ASVB YUTZ THIONVILLE; 0/2;7-25,16-25;23-50;GYMNASE LAPICQUE;CONRAUD IRINA;RANDY MATTÉO;;
ACJEUNES;02;CG8006;2023-11-12;00:00;0883902;CAM D'EPINAL;0579619;ASVB YUTZ THIONVILLE; 2/0;25-17,25-20;50-37;GYMNASE LAPICQUE;RANDY MATTÉO;CONRAUD IRINA;;
ACJEUNES;02;CG9004;2023-11-12;11:00;0686625;AS SP ENTREMONT RIXHEIM;0674157;STRASBOURG UNIVERSITE CLUB; 2/0;27-25,25-18;52-43;COSEC;SIFFERLEN FRANCK;VEILLON YVES;;
ACJEUNES;02;CG9005;2023-11-12;00:00;0674157;STRASBOURG UNIVERSITE CLUB;0714076;VBC CHALON SUR SAONE; 2/0;25-15,25-15;50-30;COSEC;SIFFERLEN FRANCK;VEILLON YVES;;
ACJEUNES;02;CG9006;2023-11-12;00:00;0686625;AS SP ENTREMONT RIXHEIM;0714076;VBC CHALON SUR SAONE; 2/0;25-18,25-15;50-33;COSEC;VEILLON YVES;SIFFERLEN FRANCK;;
