Entit�;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ACJEUNES;05;BME013;2022-02-06;11:00;0668034;VOLLEY BALL ST ESTEVE;0307732;NIMES VOLLEY-BALL; 0/2;19-25,15-25;34-50;FRISON ROCHE;DUCARNE MICHAEL;;
ACJEUNES;05;BME014;2022-02-06;00:00;0307732;NIMES VOLLEY-BALL;0337145;ASSOCIATION SPORTIVE ILLACAISE VOLLEY-BALL; 2/0;25-19,25-15;50-34;FRISON ROCHE;DUCARNE MICHAEL;;
ACJEUNES;05;BME015;2022-02-06;00:00;0668034;VOLLEY BALL ST ESTEVE;0337145;ASSOCIATION SPORTIVE ILLACAISE VOLLEY-BALL; 2/0;25-17,25-9;50-26;FRISON ROCHE;DUCARNE MICHAEL;;
ACJEUNES;05;BMF013;2022-02-06;11:00;0595712;VOLLEY CLUB SAINT POLOIS;0925271;ISSY LES MOULINEAUX V.B.; 2/0;31-29,25-16;56-45;SALLE DE LA FERME MARCHAND;VASSEUR DAVID;;
ACJEUNES;05;BMF014;2022-02-06;00:00;0925271;ISSY LES MOULINEAUX V.B.;0923631;MEUDON CHAVILLE SEVRES VB; 0/2;19-25,23-25;42-50;SALLE DE LA FERME MARCHAND;VASSEUR DAVID;;
ACJEUNES;05;BMF015;2022-02-06;00:00;0595712;VOLLEY CLUB SAINT POLOIS;0923631;MEUDON CHAVILLE SEVRES VB; 2/0;25-21,25-13;50-34;SALLE DE LA FERME MARCHAND;VASSEUR DAVID;;
ACJEUNES;05;BMG013;2022-02-05;14:00;0060036;PAYS DE GRASSE VOLLEY-BALL;0066927;NICE VOLLEY-BALL; 2/0;25-19,25-14;50-33;SALLE RENE FRIARD;PERDOUX INGRID;;
ACJEUNES;05;BMG014;2022-02-05;00:00;0066927;NICE VOLLEY-BALL;0343330;ARAGO DE SETE VOLLEY-BALL; 2/0;25-10,25-14;50-24;SALLE RENE FRIARD;PERDOUX INGRID;;
ACJEUNES;05;BMG015;2022-02-05;00:00;0060036;PAYS DE GRASSE VOLLEY-BALL;0343330;ARAGO DE SETE VOLLEY-BALL; 2/0;25-15,25-15;50-30;SALLE RENE FRIARD;PERDOUX INGRID;;
ACJEUNES;05;BMH013;2022-02-13;11:00;0784696;AS VOLLEY-BALL VELIZY;0353652;C.P.B. RENNES 35; 2/0;25-19,25-12;50-31;JEAN MACE;AGESILAS YAEL;;
ACJEUNES;05;BMH014;2022-02-13;00:00;0353652;C.P.B. RENNES 35;0686678;AS SP ILLZACH MODENHEIM; 2/1;23-25,26-24,15-12;64-61;JEAN MACE;AGESILAS YAEL;;
ACJEUNES;05;BMH015;2022-02-13;00:00;0784696;AS VOLLEY-BALL VELIZY;0686678;AS SP ILLZACH MODENHEIM; 2/0;25-12,25-14;50-26;JEAN MACE;AGESILAS YAEL;;
ACJEUNES;05;BMI013;2022-02-06;11:00;0921672;SAINT-CLOUD PARIS SF;0946784;VINCENNES VOLLEY CLUB; 2/0;25-22,25-23;50-45;LA FOUILLEUSE;PARISOT PIERRE;;
