Entit�;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ABCCS;06;2FB027;2023-11-26;14:30;0337145;ASSOCIATION SPORTIVE ILLACAISE VOLLEY-BALL;0948308;UNION SPORTIVE DE VILLEJUIF; 3/2;28-26,25-21,23-25,18-25,15-12;109-109;PIERRE FAVRE;TRUONG KIM;BRANDELON DOMINIQUE;
ABCCS;06;2FB028;2023-11-26;16:00;0921672;SAINT-CLOUD PARIS SF 2 CFC;0798259;VOLLEY-BALL PEXINOIS NIORT; 3/2;22-25,25-27,25-18,28-26,15-9;115-105;GYMNASE VERHAEREN;CADET JEAN-LUC;LAUNEAU OLIVIER;
ABCCS;06;2FB029;2023-11-26;14:00;0335197;SPORT ATHLETIQUE MERIGNACAIS;0788680;AS. SP DE SARTROUVILLE; 3/2;27-25,17-25,25-18,11-25,15-13;95-106;DANIEL COLOMBIER;PINONDELLE BENJAMIN;VIDAL BRUNO;
ABCCS;06;2FB030;2023-11-26;15:00;0646282;MJC LES FLEURS DE PAU;0920003;UGS VOLLEY SEINE OUEST; 3/0;25-15,25-23,25-23;75-61;LEO LAGRANGE;PECALVEL CYPRIEN;DARQUY DAVID;
ABCCS;07;2FB031;2023-12-03;15:00;;xxxxx;0646282;MJC LES FLEURS DE PAU;;;;SALLE DU GRAVION;;;
ABCCS;07;2FB032;2023-12-03;14:00;0920003;UGS VOLLEY SEINE OUEST;0335197;SPORT ATHLETIQUE MERIGNACAIS; 0/3;23-25,18-25,22-25;63-75;GYMNASE DES 100 GARDES;ABBAS MEHDI;JAKIMOV VERIKA;
ABCCS;07;2FB033;2023-12-03;16:00;0788680;AS. SP DE SARTROUVILLE;0921672;SAINT-CLOUD PARIS SF 2 CFC; 1/3;25-21,19-25,22-25,18-25;84-96;CARNOT;CARLOTTI PIERRE;CARBONNEL FABIEN;
ABCCS;07;2FB034;2023-12-03;15:00;0798259;VOLLEY-BALL PEXINOIS NIORT;0337145;ASSOCIATION SPORTIVE ILLACAISE VOLLEY-BALL; 3/0;25-22,25-17,25-16;75-55;HENRI BARBUSSE;EL ASBAHANI NAJIB;BEAUDOUIN MATTHIEU;
ABCCS;07;2FB035;2023-12-03;14:00;0948308;UNION SPORTIVE DE VILLEJUIF;0330014;J.S.A. BORDEAUX; 3/0;25-9,25-20,25-19;75-48;HALLE COLETTE BESSON;ROLAIN YANN;PREAU NICOLAS;
ABCCS;08;2FB036;2023-12-10;14:00;0948308;UNION SPORTIVE DE VILLEJUIF;;xxxxx;;;;GYMNASE DANIEL F�RY;;;
ABCCS;08;2FB037;2024-01-07;14:00;0330014;J.S.A. BORDEAUX;0798259;VOLLEY-BALL PEXINOIS NIORT; 2/3;25-27,25-14,25-19,23-25,8-15;106-100;SALLE MAITRE JEAN;COMBE PIERRE;GHENIMI NOUR'AMIR;
ABCCS;08;2FB038;2023-12-10;16:00;0788680;AS. SP DE SARTROUVILLE;0337145;ASSOCIATION SPORTIVE ILLACAISE VOLLEY-BALL; 2/3;25-19,22-25,25-21,20-25,10-15;102-105;CARNOT;ANDJOUH LOUENAS;FERNANDES LUCY;
ABCCS;08;2FB039;2023-12-10;16:00;0921672;SAINT-CLOUD PARIS SF 2 CFC;0920003;UGS VOLLEY SEINE OUEST; 3/0;25-14,25-21,25-14;75-49;GYMNASE VERHAEREN;CHIKH BEKADA IDRISSE;PITOUX LAURENT;
ABCCS;08;2FB040;2023-12-10;15:00;0335197;SPORT ATHLETIQUE MERIGNACAIS;0646282;MJC LES FLEURS DE PAU; 3/1;25-23,25-15,23-25,25-21;98-84;GYMNASE BOURRAN;FERMEN DOMINIQUE;MINGORANCE AMSETOU;
ABCCS;09;2FB041;2024-01-14;15:00;;xxxxx;0335197;SPORT ATHLETIQUE MERIGNACAIS;;;;SALLE DU GRAVION;;;
ABCCS;09;2FB042;2024-01-13;21:00;0646282;MJC LES FLEURS DE PAU;0921672;SAINT-CLOUD PARIS SF 2 CFC; 1/3;25-21,17-25,19-25,23-25;84-96;LEO LAGRANGE;PINONDELLE BENJAMIN;DARQUY DAVID;
ABCCS;09;2FB043;2024-01-14;14:00;0920003;UGS VOLLEY SEINE OUEST;0337145;ASSOCIATION SPORTIVE ILLACAISE VOLLEY-BALL; 1/3;25-17,17-25,21-25,18-25;81-92;GYMNASE DES 100 GARDES;ROUSSET FREDERIC;;
ABCCS;09;2FB044;2024-01-14;14:00;0788680;AS. SP DE SARTROUVILLE;0330014;J.S.A. BORDEAUX; 1/3;17-25,29-27,25-27,21-25;92-104;CARNOT;VAN BRUSSEL CHRISTOPHE;DINARD QUENTIN;
ABCCS;09;2FB045;2024-01-14;14:30;0798259;VOLLEY-BALL PEXINOIS NIORT;0948308;UNION SPORTIVE DE VILLEJUIF; 3/1;18-25,25-16,27-25,25-13;95-79;HENRI BARBUSSE;DECHOUX CHRISTIAN;MAUPIOUX EWEN;
ABCCS;10;2FB046;2024-01-28;15:00;;xxxxx;0798259;VOLLEY-BALL PEXINOIS NIORT;;;;SALLE DU GRAVION;;;
ABCCS;10;2FB047;2024-01-27;19:00;0788680;AS. SP DE SARTROUVILLE;0948308;UNION SPORTIVE DE VILLEJUIF; 2/3;17-25,25-23,12-25,25-16,14-16;93-105;JOLIOT CURIE;TOURNIER YVES;HO FELIX;
ABCCS;10;2FB048;2024-01-28;14:00;0920003;UGS VOLLEY SEINE OUEST;0330014;J.S.A. BORDEAUX; 0/3;18-25,14-25,18-25;50-75;GYMNASE DES 100 GARDES;LOUVEAU HUGUES;TOUSSAINT THOMAS;
