Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ACJEUNES;02;BMX004;2021-11-14;10:00;0839557;FREJUS VAR VOLLEY;0849721;DETENTE VERTICALE VEDENAISE; 2/0;25-12,27-25;52-37;HALLE DES PORTS SAINT CROIX;POLLET BERTRAND;;;
ACJEUNES;02;BMX005;2021-11-14;00:00;0849721;DETENTE VERTICALE VEDENAISE;0079102;F.R.J.E.P. CHARNAS; 0/2;21-25,16-25;37-50;HALLE DES PORTS SAINT CROIX;POLLET BERTRAND;;;
ACJEUNES;02;BMX006;2021-11-14;00:00;0839557;FREJUS VAR VOLLEY;0079102;F.R.J.E.P. CHARNAS; 0/2;15-25,14-25;29-50;HALLE DES PORTS SAINT CROIX;POLLET BERTRAND;;;
ACJEUNES;02;BMY004;2021-11-14;11:00;0136082;VITROLLES SPORTS VOLLEY-BALL;0060007;AS CANNES VOLLEY-BALL; 2/1;19-25,25-17,21-19;65-61;LEO LAGRANGE;BERTIN CLEMENT;;;
ACJEUNES;02;BMY005;2021-11-14;00:00;0060007;AS CANNES VOLLEY-BALL;0268573;VOLLEY-BALL ROMANAIS; 2/0;25-12,25-23;50-35;LEO LAGRANGE;BERTIN CLEMENT;;;
ACJEUNES;02;BMY006;2021-11-14;00:00;0136082;VITROLLES SPORTS VOLLEY-BALL;0268573;VOLLEY-BALL ROMANAIS; 2/0;25-7,25-17;50-24;LEO LAGRANGE;BERTIN CLEMENT;;;
ACJEUNES;02;BMZ004;2021-11-14;11:00;0686394;VBC KINGERSHEIM;0686678;AS SP ILLZACH MODENHEIM; 2/0;26-24,25-17;51-41;COSEC;NOLLET CHLOE;;;
ACJEUNES;02;BMZ005;2021-11-14;00:00;0686678;AS SP ILLZACH MODENHEIM;0255803;VOLLEY SAINT VITOIS; 2/0;25-14,25-13;50-27;COSEC;NOLLET CHLOE;;;
ACJEUNES;02;BMZ006;2021-11-14;00:00;0686394;VBC KINGERSHEIM;0255803;VOLLEY SAINT VITOIS; 2/0;25-22,28-26;53-48;COSEC;NOLLET CHLOE;;;
ACJEUNES;02;BX1004;2021-11-14;11:00;0544386;UNION SPORTIVE DU JARNISY;0542783;GRAND NANCY VOLLEY-BALL; 2/1;23-25,25-23,15-8;63-56;AUGUSTE DELAUNE;POLET VIKTORIJA;;;
ACJEUNES;02;BX1005;2021-11-14;00:00;0542783;GRAND NANCY VOLLEY-BALL;0941410;VIE AU GRAND AIR DE ST MAUR; 0/2;16-25,21-25;37-50;AUGUSTE DELAUNE;POLET VIKTORIJA;;;
ACJEUNES;02;BX1006;2021-11-14;00:00;0544386;UNION SPORTIVE DU JARNISY;0941410;VIE AU GRAND AIR DE ST MAUR; 0/2;16-25,21-25;37-50;AUGUSTE DELAUNE;POLET VIKTORIJA;;;
ACJEUNES;02;BX2004;2021-11-14;11:00;0912770;ASV - ARTS ET SPORTS A VILLEBON;0946784;VINCENNES VOLLEY CLUB; 1/2;20-25,25-21,12-15;57-61;COMPLEXE SAINT-EXUPERY;MARTORANA COSIMO;;;
ACJEUNES;02;BX2005;2021-11-14;00:00;0946784;VINCENNES VOLLEY CLUB;0574382;SPORTS REUNIS DE CREUTZWALD; 2/0;25-12,25-13;50-25;COMPLEXE SAINT-EXUPERY;MARTORANA COSIMO;;;
ACJEUNES;02;BX2006;2021-11-14;00:00;0912770;ASV - ARTS ET SPORTS A VILLEBON;0574382;SPORTS REUNIS DE CREUTZWALD; 2/0;25-9,25-13;50-22;COMPLEXE SAINT-EXUPERY;MARTORANA COSIMO;;;
ACJEUNES;02;BX3004;2021-11-14;10:00;0714053;VOLLEY CLUB MACONNAIS;0015366;VOLLEY CLUB MEXIMIEUX; 2/0;25-21,27-25;52-46;PALAIS DES SPORTS;SCHMIDT KILLIAN;;;
ACJEUNES;02;BX3005;2021-11-14;00:00;0015366;VOLLEY CLUB MEXIMIEUX;0219695;DIJON TALANT VOLLEY-BALL; 2/0;25-10,25-20;50-30;PALAIS DES SPORTS;SCHMIDT KILLIAN;;;
ACJEUNES;02;BX3006;2021-11-14;00:00;0714053;VOLLEY CLUB MACONNAIS;0219695;DIJON TALANT VOLLEY-BALL; 2/0;25-17,25-18;50-35;PALAIS DES SPORTS;SCHMIDT KILLIAN;;;
ACJEUNES;02;BX4004;2021-11-14;11:00;0695668;VOLLEY BRON @ LYON LUMIERE;0693493;PATRIOTE ENTRAIN DE SAINT DENIS (LYON PESD); 1/2;25-18,22-25,8-15;55-58;KENNEDY;JAVANSHIR MASSOUD;;;
ACJEUNES;02;BX4005;2021-11-14;00:00;0693493;PATRIOTE ENTRAIN DE SAINT DENIS (LYON PESD);0382205;PAYS VOIRONNAIS VOLLEY - PVV; 2/0;25-12,25-15;50-27;KENNEDY;JAVANSHIR MASSOUD;;;
ACJEUNES;02;BX4006;2021-11-14;00:00;0695668;VOLLEY BRON @ LYON LUMIERE;0382205;PAYS VOIRONNAIS VOLLEY - PVV; 2/0;25-22,25-17;50-39;KENNEDY;JAVANSHIR MASSOUD;;;
ACJEUNES;02;BX5004;2021-11-14;11:00;0696380;AS CALUIRE ET CUIRE;0693332;V.B. VILLEFRANCHE BEAUJOLAIS; 2/0;25-15,25-21;50-36;MARIA CASARES;DEVIENNE CHRISTOPHE;;;
ACJEUNES;02;BX5005;2021-11-14;00:00;0693332;V.B. VILLEFRANCHE BEAUJOLAIS;0842425;U.S. PONTET VOLLEY AVENIR; 0/2;14-25,18-25;32-50;MARIA CASARES;DEVIENNE CHRISTOPHE;;;
ACJEUNES;02;BX5006;2021-11-14;00:00;0696380;AS CALUIRE ET CUIRE;0842425;U.S. PONTET VOLLEY AVENIR; 1/2;21-25,25-19,9-15;55-59;MARIA CASARES;DEVIENNE CHRISTOPHE;;;
